# Kerning | Font: Vergil-Regular | zones=9 supersample=10 smooth=40% round=1 mingap=1/2
# Basiswert LC (n+n): Ø299.9  |  Basiswert UC (O+O): Ø456.8
# Format: LinkerBuchstabe;RechterBuchstabe;Korrekturwert (LC/UC z<i>:Zonenwert,...)
# Korrektur = round(Basiswert - PaarDurchschnitt) | Negativ=enger, Positiv=weiter
.notdef;t;-84 (LC z2:407.2,z3:373,z4:373,z5:336.2,z6:431.2)
.notdef;u;-87 (LC z2:448.7,z3:390.3,z4:390,z5:317.7)
.notdef;v;-140 (LC z2:614.8,z3:506.4,z4:398,z5:289.6) [cap:min=289.6→149.9]
.notdef;w;-140 (LC z2:614.8,z3:506.4,z4:398,z5:289.6) [cap:min=289.6→149.9]
.notdef;x;-75 (LC z2:298.1,z3:508.7,z4:400.4,z5:292)
.notdef;y;-88 (LC z0:256.6,z1:365,z2:473.4,z3:533,z4:421.6,z5:278.5)
.notdef;z;-76 (LC z2:340.5,z3:450.7,z4:410.3,z5:301.9)
.notdef;s.fina;-32 (LC z2:277.1,z3:374.7,z4:333,z5:343)
.notdef;c_t;-132 (LC z2:413.1,z3:304.7,z4:306.4,z5:414.8,z6:523.2,z7:631.6)
.notdef;s_i;-94 (LC z2:259,z3:357.4,z4:358,z5:321.2,z6:378.3,z7:486.7,z8:595.1)
.notdef;s_s;-85 (LC z2:259,z3:357.4,z4:358,z5:321.2,z6:371.7,z7:457.6,z8:566)
.notdef;s_t;-89 (LC z2:259,z3:357.4,z4:358,z5:321.2,z6:374.4,z7:470.1,z8:578.5)
.notdef;zero;-61 (mixed→LC z2:462,z3:353.6,z4:290.5,z5:285.4,z6:332.8,z7:441.2)
.notdef;one;-333 (mixed→LC z2:521.4,z3:720.1,z4:721,z5:721,z6:619.2,z7:510.8,z8:619.2)
.notdef;two;-185 (mixed→LC z2:335.3,z3:443.7,z4:552.1,z5:660.5,z6:659.1,z7:498) [cap:min=335.3→149.9]
.notdef;three;-241 (mixed→LC z2:502.4,z3:394,z4:502.4,z5:610.8,z6:719.2,z7:517)
.notdef;four;-165 (mixed→LC z2:531.4,z3:423,z4:314.6,z5:423,z6:531.4,z7:639.8) [cap:min=314.6→149.9]
.notdef;five;-183 (mixed→LC z2:497.9,z3:389.5,z4:497.9,z5:526.7,z6:476.6,z7:510.7)
.notdef;six;-139 (mixed→LC z2:472.7,z3:364.3,z4:306.6,z5:324.5,z6:427.3,z7:535.7,z8:644.1)
.notdef;seven;-202 (mixed→LC z2:545.3,z3:606.2,z4:677.2,z5:568.8,z6:460.4,z7:352) [cap:min=352→149.9]
.notdef;eight;-125 (mixed→LC z2:435.6,z3:327.2,z4:347.8,z5:456.2,z6:370.2,z7:464.2,z8:572.6)
.notdef;nine;-150 (mixed→LC z2:472.9,z3:569.9,z4:461.5,z5:353.1,z6:321.8,z7:430.2,z8:538.6)
.notdef;zero.osf;-61 (LC z2:425.1,z3:316.7,z4:296.8,z5:405.2)
.notdef;one.osf;-92 (LC z2:337.9,z3:432.7,z4:433,z5:365.6)
.notdef;two.osf;-65 (LC z2:255.2,z3:363.6,z4:472,z5:366.8)
.notdef;three.osf;-111 (LC z0:302,z1:410.4,z2:518.8,z3:400.9,z4:509.3,z5:323.2)
.notdef;four.osf;-274 (LC z0:749.1,z1:640.7,z2:532.3,z3:423.9,z4:532.3,z5:640.7,z6:749.1) [cap:min=423.9→149.9]
.notdef;five.osf;-144 (LC z0:380,z1:576,z2:535.3,z3:426.9,z4:318.5,z5:426.9)
.notdef;six.osf;-75 (LC z2:387.9,z3:279.5,z4:294.5,z5:402.9,z6:511.3)
.notdef;seven.osf;-154 (LC z1:402.2,z2:508.9,z3:561.3,z4:452.9,z5:344.5)
.notdef;eight.osf;-77 (LC z2:387.3,z3:293.5,z4:401.9,z5:330.1,z6:368.7,z7:477.1)
.notdef;nine.osf;-80 (LC z0:304.3,z1:466.9,z2:406.2,z3:297.8,z4:348,z5:456.4)
.notdef;period;-52 (LC z2:339.8,z3:363)
.notdef;comma;-58 (LC z0:295,z1:403.4,z2:370.9,z3:361.1)
.notdef;colon;-76 (LC z2:341.6,z4:394.7,z5:392.6)
.notdef;semicolon;-93 (LC z0:315.6,z1:424,z2:368.5,z3:396.3,z4:435,z5:417.7)
.notdef;periodcentered;-118 (LC z4:405.8,z5:429.2)
.notdef;hyphen;34 (LC z4:266)
.notdef;endash;34 (LC z4:266)
.notdef;emdash;34 (LC z4:266)
.notdef;underscore;80 (LC z0:220,z1:220)
.notdef;ampersand;-144 (LC z2:409.1,z3:300.7,z4:314.4,z5:422.8,z6:531.2,z7:509.5,z8:617.9)
.notdef;verticalbar;-12 (LC z0:312,z1:312,z2:312,z3:312,z4:312,z5:312,z6:312,z7:312,z8:312)
A;.notdef;-170 (mixed→LC z2:319.6,z3:428,z4:536.4,z5:644.8,z6:753.2,z7:861.6) [cap:min=319.6→149.9]
A;A;54 (UC z2:174.4,z3:391.2,z4:608,z5:824.8,z6:1041.6,z7:1258.4) [cap:min=174.4→228.4]
A;B;64 (UC z2:164.5,z3:381.3,z4:542.4,z5:650.8,z6:759.2,z7:762.3) [cap:min=164.5→228.4]
A;C;-136 (UC z2:445.4,z3:445.4,z4:446.2,z5:543.7,z6:730.2,z7:947)
A;D;58 (UC z2:170.1,z3:386.9,z4:542.4,z5:650.8,z6:759.2,z7:762.3) [cap:min=170.1→228.4]
A;E;64 (UC z2:164.5,z3:381.3,z4:542.4,z5:650.8,z6:759.2,z7:758.5) [cap:min=164.5→228.4]
A;F;58 (UC z2:170.1,z3:386.9,z4:542.4,z5:650.8,z6:759.2,z7:758.5) [cap:min=170.1→228.4]
A;G;-136 (UC z2:445.4,z3:445.4,z4:446.2,z5:543.7,z6:730.2,z7:947)
A;H;58 (UC z2:170.1,z3:386.9,z4:542.4,z5:650.8,z6:759.2,z7:762.3) [cap:min=170.1→228.4]
A;I;58 (UC z2:170.1,z3:386.9,z4:542.4,z5:650.8,z6:759.2,z7:762.3) [cap:min=170.1→228.4]
A;J;21 (UC z2:207.5,z3:424.3,z4:542.4,z5:650.8,z6:759.2,z7:762.3) [cap:min=207.5→228.4]
A;K;58 (UC z2:170.1,z3:386.9,z4:542.4,z5:650.8,z6:759.2,z7:762.3) [cap:min=170.1→228.4]
A;L;58 (UC z2:170.1,z3:386.9,z4:542.4,z5:650.8,z6:759.2,z7:762.3) [cap:min=170.1→228.4]
A;M;37 (UC z2:190.9,z3:407.7,z4:552,z5:671.7,z6:791.4,z7:796.2) [cap:min=190.9→228.4]
A;N;27 (UC z2:201.4,z3:418.2,z4:547.4,z5:655.8,z6:764.2,z7:760.5) [cap:min=201.4→228.4]
A;O;-136 (UC z2:443.6,z3:443.6,z4:445.5,z5:544.1,z6:731.8,z7:948.6)
A;P;31 (UC z2:197.6,z3:414.4,z4:542.4,z5:650.8,z6:759.2,z7:781.2) [cap:min=197.6→228.4]
A;Q;-136 (UC z2:442.8,z3:442.8,z4:445.6,z5:544.1,z6:731.8,z7:948.6)
A;R;31 (UC z2:197.6,z3:414.4,z4:542.4,z5:650.8,z6:759.2,z7:781.2) [cap:min=197.6→228.4]
A;S;-30 (UC z2:258.8,z3:442.6,z4:635.4,z5:635.4,z6:635.4,z7:830) [cap:min=258.8→228.4]
A;T;-198 (UC z2:597.3,z3:665.8,z4:665.8,z5:665.8,z6:665.8,z7:665.8)
A;U;-112 (UC z2:423.4,z3:423.4,z4:503.4,z5:611.8,z6:720.2,z7:732.7)
A;V;-309 (UC z2:766.1,z3:766.1,z4:766.1,z5:766.1,z6:766.1,z7:766.1)
A;W;-292 (UC z2:695.2,z3:736,z4:764.3,z5:766.5,z6:766.5,z7:766.5)
A;X;8 (UC z2:220,z3:436.8,z4:653.6,z5:870.4,z6:880.3,z7:770.3) [cap:min=220→228.4]
A;Y;-264 (UC z2:550.1,z3:754.6,z4:754.6,z5:754.6,z6:754.6,z7:754.6)
A;Z;36 (UC z2:192.1,z3:420.4,z4:709.1,z5:721.5,z6:721.5,z7:721.5) [cap:min=192.1→228.4]
A;Z.alt;-138 (UC z2:490.9,z3:490.9,z4:620.2,z5:620.2,z6:620.2,z7:728.6)
A;a;-74 (mixed→LC z2:224,z3:382.3,z4:599.1,z5:616.2) [cap:min=224→149.9]
A;ae;-44 (mixed→LC z2:194,z3:333.4,z4:550.2,z5:604.9) [cap:min=194→149.9]
A;b;-204 (mixed→LC z2:354,z3:354,z4:462.4,z5:570.8,z6:679.2,z7:722.4) [cap:min=354→149.9]
A;c;-95 (mixed→LC z2:285.7,z3:285.7,z4:395.7,z5:612.5)
A;d;-139 (mixed→LC z2:288.5,z3:288.5,z4:389.8,z5:606.6,z6:823.4,z7:1040.2) [cap:min=288.5→149.9]
A;e;-94 (mixed→LC z2:290.8,z3:290.8,z4:389.2,z5:606)
A;f;-31 (mixed→LC z2:180.6,z3:387.4,z4:496.4,z5:549.6,z6:728,z7:912) [cap:min=180.6→149.9]
A;g;-95 (mixed→LC z2:245.1,z3:391.5,z4:401,z5:612.5) [cap:min=245.1→149.9]
A;h;-14 (mixed→LC z2:163.6,z3:370.4,z4:479.4,z5:587.8,z6:696.2,z7:738.9) [cap:min=163.6→149.9]
A;i;-31 (mixed→LC z2:180.6,z3:387.4,z4:480.6,z5:528.3,z6:717.7,z7:796.5) [cap:min=180.6→149.9]
A;dotlessi;-31 (mixed→LC z2:180.6,z3:387.4,z4:480.6,z5:528.3) [cap:min=180.6→149.9]
A;j;10 (mixed→LC z2:139.5,z3:356.3,z4:463.6,z5:511.3,z6:700.7,z7:779.5) [cap:min=139.5→149.9]
A;uni0237;10 (mixed→LC z2:139.5,z3:356.3,z4:463.6,z5:511.3) [cap:min=139.5→149.9]
A;k;-14 (mixed→LC z2:163.6,z3:370.4,z4:479.4,z5:587.8,z6:696.2,z7:738.9) [cap:min=163.6→149.9]
A;l;-14 (mixed→LC z2:163.6,z3:370.4,z4:479.4,z5:587.8,z6:696.2,z7:738.9) [cap:min=163.6→149.9]
A;m;-31 (mixed→LC z2:180.6,z3:387.4,z4:480.6,z5:528.3) [cap:min=180.6→149.9]
A;n;-24 (mixed→LC z2:174.3,z3:386.8,z4:480.6,z5:549.9) [cap:min=174.3→149.9]
A;o;-96 (mixed→LC z2:291.5,z3:291.5,z4:391.7,z5:608.5)
A;p;-105 (mixed→LC z2:262.6,z3:371,z4:452.1,z5:532.3)
A;q;-93 (mixed→LC z2:288.7,z3:288.7,z4:389.6,z5:606.4)
A;r;-31 (mixed→LC z2:180.6,z3:387.4,z4:480.6,z5:522.3) [cap:min=180.6→149.9]
A;s;-38 (mixed→LC z2:188.2,z3:405,z4:424.8,z5:542.2) [cap:min=188.2→149.9]
A;germandbls;18 (mixed→LC z2:131.6,z3:338.4,z4:447.4,z5:519,z6:679,z7:863) [cap:min=131.6→149.9]
A;longs;18 (mixed→LC z2:131.6,z3:338.4,z4:447.4,z5:519,z6:679,z7:863) [cap:min=131.6→149.9]
A;t;-130 (mixed→LC z2:279.8,z3:354,z4:462.4,z5:534,z6:737.4) [cap:min=279.8→149.9]
A;u;-122 (mixed→LC z2:321.3,z3:371.3,z4:479.4,z5:515.5)
A;v;-188 (mixed→LC z2:487.4,z3:487.4,z4:487.4,z5:487.4)
A;w;-188 (mixed→LC z2:487.4,z3:487.4,z4:487.4,z5:487.4)
A;x;-21 (mixed→LC z2:170.7,z3:489.7,z4:489.8,z5:489.8) [cap:min=170.7→149.9]
A;y;-162 (mixed→LC z2:346,z3:514,z4:511,z5:476.3)
A;z;-63 (mixed→LC z2:213.1,z3:431.7,z4:499.7,z5:499.7) [cap:min=213.1→149.9]
A;s.fina;0 (mixed→LC z2:149.7,z3:355.7,z4:422.4,z5:540.8) [cap:min=149.7→149.9]
A;c_t;-136 (mixed→LC z2:285.7,z3:285.7,z4:395.8,z5:612.6,z6:829.4,z7:1046.2) [cap:min=285.7→149.9]
A;s_i;18 (mixed→LC z2:131.6,z3:338.4,z4:447.4,z5:519,z6:684.5,z7:901.3) [cap:min=131.6→149.9]
A;s_s;18 (mixed→LC z2:131.6,z3:338.4,z4:447.4,z5:519,z6:677.9,z7:872.2) [cap:min=131.6→149.9]
A;s_t;18 (mixed→LC z2:131.6,z3:338.4,z4:447.4,z5:519,z6:680.6,z7:884.7) [cap:min=131.6→149.9]
A;zero;-48 (UC z2:334.6,z3:334.6,z4:379.9,z5:483.2,z6:639,z7:855.8)
A;one;-166 (UC z2:394,z3:701.1,z4:810.4,z5:918.8,z6:925.4,z7:925.4) [cap:min=394→228.4]
A;two;20 (UC z2:207.9,z3:424.7,z4:641.5,z5:858.3,z6:965.3,z7:912.6) [cap:min=207.9→228.4]
A;three;-147 (UC z2:375,z3:375,z4:591.8,z5:808.6,z6:1025.4,z7:931.6) [cap:min=375→228.4]
A;four;-164 (UC z2:404,z3:404,z4:404,z5:620.8,z6:837.6,z7:1054.4)
A;five;-142 (UC z2:370.5,z3:370.5,z4:587.3,z5:724.5,z6:782.8,z7:925.3) [cap:min=370.5→228.4]
A;six;-92 (UC z2:345.3,z3:345.3,z4:396,z5:522.3,z6:733.5,z7:950.3)
