# Kerning | Font: Centenary-Regular | zones=9 supersample=10 smooth=40% round=1 mingap=1/2
# Basiswert LC (n+n): Ø342.6  |  Basiswert UC (O+O): Ø515.1
# Format: LinkerBuchstabe;RechterBuchstabe;Korrekturwert (LC/UC z<i>:Zonenwert,...)
# Korrektur = round(Basiswert - PaarDurchschnitt) | Negativ=enger, Positiv=weiter
.notdef;U;-103 (mixed→LC z2:627,z3:522.1,z4:446.3,z5:438.3,z6:440.5,z7:379,z8:274.1) [cap:min=274.1→171.3]
.notdef;Uacute;-103 (mixed→LC z2:627,z3:522.1,z4:446.3,z5:438.3,z6:440.5,z7:379,z8:274.1) [cap:min=274.1→171.3]
.notdef;Ucircumflex;-103 (mixed→LC z2:627,z3:522.1,z4:446.3,z5:438.3,z6:440.5,z7:379,z8:274.1) [cap:min=274.1→171.3]
.notdef;Udieresis;-103 (mixed→LC z2:627,z3:522.1,z4:446.3,z5:438.3,z6:440.5,z7:379,z8:274.1) [cap:min=274.1→171.3]
.notdef;Ugrave;-103 (mixed→LC z2:627,z3:522.1,z4:446.3,z5:438.3,z6:440.5,z7:379,z8:274.1) [cap:min=274.1→171.3]
.notdef;V;-125 (mixed→LC z2:925.3,z3:820.4,z4:715.5,z5:610.6,z6:505.7,z7:400.8,z8:295.9) [cap:min=295.9→171.3]
.notdef;W;-125 (mixed→LC z2:894.2,z3:821.2,z4:716.3,z5:611.4,z6:506.5,z7:401.6,z8:296.7) [cap:min=296.7→171.3]
.notdef;Wacute;-125 (LC z2:894.2,z3:821.2,z4:716.3,z5:611.4,z6:506.5,z7:401.6,z8:296.7) [cap:min=296.7→171.3]
.notdef;Wcircumflex;-125 (mixed→LC z2:894.2,z3:821.2,z4:716.3,z5:611.4,z6:506.5,z7:401.6,z8:296.7) [cap:min=296.7→171.3]
.notdef;Wdieresis;-125 (LC z2:894.2,z3:821.2,z4:716.3,z5:611.4,z6:506.5,z7:401.6,z8:296.7) [cap:min=296.7→171.3]
.notdef;Wgrave;-125 (LC z2:894.2,z3:821.2,z4:716.3,z5:611.4,z6:506.5,z7:401.6,z8:296.7) [cap:min=296.7→171.3]
.notdef;X;-101 (mixed→LC z2:272,z3:376.9,z4:481.8,z5:586.7,z6:691.6,z7:521.2,z8:324.6) [cap:min=272→171.3]
.notdef;Y;-108 (mixed→LC z2:593,z3:803.5,z4:698.6,z5:593.7,z6:488.8,z7:383.9,z8:279) [cap:min=279→171.3]
.notdef;Yacute;-108 (mixed→LC z2:593,z3:803.5,z4:698.6,z5:593.7,z6:488.8,z7:383.9,z8:279) [cap:min=279→171.3]
.notdef;Ycircumflex;-108 (mixed→LC z2:593,z3:803.5,z4:698.6,z5:593.7,z6:488.8,z7:383.9,z8:279) [cap:min=279→171.3]
.notdef;Ydieresis;-108 (mixed→LC z2:593,z3:803.5,z4:698.6,z5:593.7,z6:488.8,z7:383.9,z8:279) [cap:min=279→171.3]
.notdef;Ygrave;-108 (LC z2:593,z3:803.5,z4:698.6,z5:593.7,z6:488.8,z7:383.9,z8:279) [cap:min=279→171.3]
